ID (do not edit),Content type,Element type,Source language (EN),Target language (IT)
"{""contentId"":""86e5be05-53cc-4363-b873-c34090ed7690"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_7"">properties for <span style=""font-weight:bold"">rent</span> in</p>","<p class=""font_7"">Eigenschaften für <span style=""font-weight:bold"">mieten</span> In</p>"
"{""contentId"":""91dc6683-ba6f-4d52-b630-7e1c9e09d88d"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}",TEXT,wixui.ImageX,280f0a_559758f7e0994012a27c2239ad7f24bc~mv2.jpg,280f0a_559758f7e0994012a27c2239ad7f24bc~mv2.jpg
"{""contentId"":""91dc6683-ba6f-4d52-b630-7e1c9e09d88d"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}",TEXT,wixui.ImageX,"Le Roccabella in Larvotto, prestigious high-rise with luxury apartments and wide terraces offering Mediterranean views","Le Roccabella in Larvotto, prestigeträchtiges Hochhaus mit Luxusapartments und großen Terrassen mit Blick auf das Mittelmeer"
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,RentALL,Nearby permit-based parking or garage option,Genehmigungspflichtiger Parkplatz oder Garage in der Nähe
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,RentALL,2 to 3 bedrooms; panoramic terrace; traditional interiors,2 bis 3 Schlafzimmer; Panoramaterrasse; traditionelle Innenräume
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,RentALL,"Maison du Rocher is a historic stone property nestled along the scenic cliffs of Monaco-Ville, offering absolute privacy and breathtaking views over the port and sea.",Maison du Rocher ist ein historisches Steinanwesen an den malerischen Klippen von Monaco-Ville und bietet absolute Privatsphäre und einen atemberaubenden Blick über den Hafen und das Meer.
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,RentALL,Perfect for discerning buyers who appreciate timeless architecture and value exclusivity within the royal quarter of Monaco.,"Perfekt für anspruchsvolle Käufer, die zeitlose Architektur schätzen und Wert auf Exklusivität im königlichen Viertel von Monaco legen."
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,RentALL,Medieval stone elegance with open sea views,Mittelalterliche Eleganz aus Stein mit offenem Meerblick
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,RentALL,"Private entrance, scenic location, full renovation options","Privater Eingang, malerische Lage, umfassende Renovierungsmöglichkeiten"
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,RentALL,"This rare property features original vaulted ceilings, Mediterranean tile work, and handcrafted shutters. Its elevated position ensures natural light all day long.","Dieses seltene Anwesen verfügt über originale Gewölbedecken, mediterrane Fliesenarbeiten und handgefertigte Fensterläden. Seine erhöhte Position sorgt den ganzen Tag über für natürliches Licht."
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,RentALL,Maison du Rocher,Maison du Rocher
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,RentALL,Approx. 180 m²,Ca. 180 m²
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""price21"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,RentALL,Monaco-Ville,Monaco-Ville
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,RentALL,1 exclusive home,1 exklusives Zuhause
"{""contentId"":""9fa5171b-a55a-4579-82b0-5bd273e18b1c"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,RentALL,Royal-Adjacent Serenity in an Intimate Setting,Königliche Gelassenheit in einer intimen Umgebung
"{""contentId"":""881b511c-31a8-4d47-8ea5-488c81f12dfa"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}",TEXT,wixui.ImageX,c837a6_b693d7b5d2734258bd015eac7689ebaf~mv2.jpg,c837a6_b693d7b5d2734258bd015eac7689ebaf~mv2.jpg
"{""contentId"":""881b511c-31a8-4d47-8ea5-488c81f12dfa"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}",TEXT,wixui.ImageX,Deko,Deko
"{""contentId"":""7f5169f1-7476-47ca-8123-8478c9fbe339"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_8""><span>Living space</span></p>","<p class=""font_8""><span>Wohnfläche</span></p>"
"{""contentId"":""9b138e8c-3a67-4cfc-809d-e658d74ca771"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}",TEXT,wixui.ImageX,280f0a_3fd4eed5e3774279b8d8f97126324670~mv2.jpg,280f0a_3fd4eed5e3774279b8d8f97126324670~mv2.jpg
"{""contentId"":""9b138e8c-3a67-4cfc-809d-e658d74ca771"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}",TEXT,wixui.ImageX,"Maison Floriane in Monaco-Ville, elegant residence with classic architecture and luxury apartments in the historic district","Maison Floriane in Monaco-Ville, elegante Residenz mit klassischer Architektur und Luxusapartments im historischen Viertel"
"{""contentId"":""a7c7d07d-4778-4b72-a302-f8d28ab4b8bd"",""fieldId"":""wix.ecom.delivery.v1.ShippingOption.title"",""sequencePath"":[]}",TEXT,wix.ecom.delivery.v1.ShippingOption,Kostenloser Versand,Kostenloser Versand
"{""contentId"":""8eda3a0a-fb76-4967-ba9a-7fab1eb7218e"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h3 class=""font_3"">Maximum Returns</h3>","<h3 class=""font_3"">Maximale Rendite</h3>"
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,RentALL,Secure underground garages,Sichere Tiefgaragen
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,RentALL,1 to 5 bedrooms; high-rise views,1 bis 5 Schlafzimmer; Aussicht auf Hochhäuser
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,RentALL,Les Ligures combines timeless architectural charm with contemporary luxuries across its expansive terraces overlooking Monaco.,Les Ligures verbindet zeitlosen architektonischen Charme mit zeitgenössischem Luxus auf seinen weitläufigen Terrassen mit Blick auf Monaco.
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,RentALL,"Residents benefit from 24-hour concierge services, secure underground parking, landscaped gardens, and private fitness facilities.","Die Bewohner profitieren von einem 24-Stunden-Concierge-Service, einer sicheren Tiefgarage, angelegten Gärten und privaten Fitnesseinrichtungen."
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,RentALL,High-rise modernist style,Modernistischer Hochhausstil
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,RentALL,"24/7 concierge, pools, tennis courts","Concierge rund um die Uhr, Pools, Tennisplätze"
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,RentALL,"Homes within Les Ligures feature classic yet modern interiors, large private terraces, and panoramic views of the Mediterranean.","Die Häuser in Les Ligures verfügen über ein klassisches und dennoch modernes Interieur, große private Terrassen und einen Panoramablick auf das Mittelmeer."
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,RentALL,Les Ligures,Les Ligures
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,RentALL,60 m² to 600 m²,60 m² bis 600 m²
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""price21"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,RentALL,La Condamine,La Condamine
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,RentALL,Approx. 200 units,Ca. 200 Einheiten
"{""contentId"":""9cd893dc-03af-4309-b39b-1ad614d0758a"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,RentALL,Classic Comfort Meets Luxurious Modernity,Klassischer Komfort trifft auf luxuriöse Moderne
"{""contentId"":""a9f695ed-c726-4d4b-b0c1-5ee299661284"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_4""><span>Palais de<br>Justice View</span></p>","<p class=""font_4""><span>Palais de<br>Gerechtigkeitsansicht</span></p>"
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">2 - 4</p>","<p class=""font_8"">2 - 4</p>"
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""1MetaDescription"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"La Réserve is a discreet, exclusive residence by the new Larvotto promenade, offering direct beach access and elegant contemporary living.","La Réserve ist eine diskrete, exklusive Residenz an der neuen Larvotto-Promenade, die direkten Zugang zum Strand und elegantes, modernes Wohnen bietet."
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Secure underground parking,Sichere Tiefgarage
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,2 to 4 bedrooms; sea-view terraces; fully renovated units,2 bis 4 Schlafzimmer; Terrassen mit Meerblick; komplett renovierte Einheiten
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Situated steps from the new Larvotto promenade, La Réserve is a discreet and exclusive residence with direct beach access.",Nur wenige Schritte von der neuen Larvotto-Promenade entfernt ist La Réserve eine diskrete und exklusive Residenz mit direktem Zugang zum Strand.
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"The building features a stylish concierge lobby, 24/7 security, and immediate access to waterfront restaurants and the new Mareterra marina.","Das Gebäude verfügt über eine stilvolle Concierge-Lobby, 24-Stunden-Sicherheitsdienst und direkten Zugang zu Restaurants am Wasser und dem neuen Yachthafen Mareterra."
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""altText"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Video of La Réserve Monaco residence on Avenue Princesse Grace with beach access,Video der Residenz La Réserve Monaco in der Avenue Princesse Grace mit Zugang zum Strand
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Contemporary waterfront residence combining privacy and proximity to Larvotto’s future marina,"Zeitgenössische Residenz am Wasser, die Privatsphäre und die Nähe zum zukünftigen Yachthafen von Larvotto vereint"
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Concierge, 24/7 security, beach access, renovated common areas","Concierge, 24-Stunden-Sicherheitsdienst, Zugang zum Strand, renovierte Gemeinschaftsbereiche"
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Residences offer refined interiors, expansive terraces, and large living areas overlooking the sea. Many apartments have been fully modernized to luxury standards.","Die Residenzen bieten elegante Innenräume, weitläufige Terrassen und große Wohnbereiche mit Blick auf das Meer. Viele Wohnungen wurden vollständig modernisiert und bieten Luxusstandards."
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,La Réserve,La Réserve
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8""><strong>12.400.000 €</strong></p>","<p class=""font_8""><strong>12.400.000 €</strong></p>"
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,150 m² to 500 m²,150 m² bis 500 m²
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""altText1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,View from La Réserve Monaco sea-facing balconies and landscaped pool area,Blick von den Balkonen des La Réserve Monaco auf das Meer und den angelegten Poolbereich
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Larvotto,Larvotto
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""altText2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,La Réserve Monaco building with curved balconies overlooking Larvotto beach,La Réserve Monaco-Gebäude mit geschwungenen Balkonen und Blick auf den Strand von Larvotto
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""priceRent"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">Price on request</p>","<p class=""font_8"">Preis auf Anfrage</p>"
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Approx. 30 luxury residences,Ca. 30 Luxusresidenzen
"{""contentId"":""9e59b797-dc46-45e2-86f3-c6d99c4617bc"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,A Private Realm Steps from the Larvotto Promenade,"Ein privates Reich, nur wenige Schritte von der Larvotto-Promenade entfernt"
"{""contentId"":""99604314-f1be-427c-acbe-eb6a9ee4c134"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_8""><span>Living space</span></p>","<p class=""font_8""><span>Wohnfläche</span></p>"
"{""contentId"":""9faa277d-78e0-4869-a79d-9b1ae028c43c"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h3 class=""font_3"">Anse du portier</h3>","<h3 class=""font_3"">Anse du Portier</h3>"
"{""contentId"":""aa12833b-8441-4a5b-927a-b7c625b04c33"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_8""><span>Living space</span></p>","<p class=""font_8""><span>Wohnfläche</span></p>"
"{""contentId"":""adf51b19-5b1c-41e8-a70e-f1b43c83a922"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}",TEXT,wixui.ImageX,280f0a_68414ebf4b8147999c51b6f447f20224~mv2.jpg,280f0a_68414ebf4b8147999c51b6f447f20224~mv2.jpg
"{""contentId"":""adf51b19-5b1c-41e8-a70e-f1b43c83a922"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}",TEXT,wixui.ImageX,"Les Townhouses in Anse du Portier, prestigious residences combining modern architecture with luxury living near the waterfront","Les Townhouses in Anse du Portier, prestigeträchtige Residenzen, die moderne Architektur mit luxuriösem Wohnen in der Nähe der Küste verbinden"
"{""contentId"":""916d21fc-a5de-4a8a-8395-958eeca20011"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h2 class=""font_2""><a dataquery=""LINK_0"">Now available</a></h2>","<h2 class=""font_2""><a dataquery=""LINK_0"">Jetzt verfügbar</a></h2>"
"{""contentId"":""91b759cd-1761-4d9f-98ee-9731d8cc5fce"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}",TEXT,wixui.ImageX,280f0a_33f435461bb14f46a9350e8dde563a01~mv2.jpg,280f0a_33f435461bb14f46a9350e8dde563a01~mv2.jpg
"{""contentId"":""91b759cd-1761-4d9f-98ee-9731d8cc5fce"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}",TEXT,wixui.ImageX,"La Réserve in Larvotto, exclusive residence with large balconies and panoramic sea views on Avenue Princesse Grace","La Réserve in Larvotto, exklusive Residenz mit großen Balkonen und Panoramablick auf das Meer an der Avenue Princesse Grace"
"{""contentId"":""a1ec00e1-f300-4e81-9057-720c8fc01d89"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_9"">MORE RESIDENCES</p>","<p class=""font_9"">MEHR WOHNSÄTZE</p>"
"{""contentId"":""ad528d26-fc3e-410d-a861-043b981b17c8"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h3 class=""font_3"">PRIVATE CLIENT SERVICE</h3>","<h3 class=""font_3"">PRIVATER KUNDENDIENST</h3>"
"{""contentId"":""950b4864-e31c-4ab6-bc34-14db1654619e"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_4""><span>La Réserve</span><br><br></p>","<p class=""font_4""><span>La Réserve</span><br><br></p>"
"{""contentId"":""886d703b-449c-44c3-9fef-aba358a955c1"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_3"">4/7</p>","<p class=""font_3"">4/7</p>"
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,RentALL,Large underground garage for residents,Große Tiefgarage für Bewohner
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,RentALL,2 to 5 bedrooms; panoramic sea views; upgraded interiors,2 bis 5 Schlafzimmer; Panoramablick auf das Meer; aufgewertete Innenräume
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,RentALL,"Estoril is a substantial seafront residence at the edge of Larvotto Beach, appreciated for its curved modernist architecture and full-service amenities.","Estoril ist eine bedeutende Residenz am Meer am Rande des Larvotto-Strands, die für ihre geschwungene modernistische Architektur und ihre umfassenden Annehmlichkeiten geschätzt wird."
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,RentALL,"The building offers concierge services, upgraded communal spaces, and excellent long-term rental potential.","Das Gebäude bietet Concierge-Dienste, modernisierte Gemeinschaftsräume und ein hervorragendes Langzeitmietpotenzial."
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,RentALL,1970s modernist residence with sweeping balconies and iconic beachside design,Modernistische Residenz aus den 1970er-Jahren mit weitläufigen Balkonen und ikonischem Stranddesign
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,RentALL,"Concierge, camera systems, renovated entrance hall","Concierge, Kamerasysteme, renovierte Eingangshalle"
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,RentALL,"Most apartments enjoy panoramic sea views and have been renovated with designer kitchens, wooden floors, and premium fittings.","Die meisten Apartments bieten einen Panoramablick auf das Meer und wurden mit Designerküchen, Holzböden und hochwertiger Ausstattung renoviert."
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,RentALL,Estoril,Estoril
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,RentALL,90 m² to 400 m²,90 m² bis 400 m²
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""price21"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,RentALL,Larvotto,Larvotto
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,RentALL,Approx. 100 units,Ca. 100 Einheiten
"{""contentId"":""a6e99f75-6649-45d8-9a7b-0ee7cedbe474"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,RentALL,A Monument of Riviera Calm and Substance,Ein Denkmal der Ruhe und Substanz der Riviera
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,RentALL,Underground garage with private spaces,Tiefgarage mit privaten Räumen
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,RentALL,1 to 3 bedrooms; corner terraces; modern interiors,1 bis 3 Schlafzimmer; Eckterrassen; moderne Innenräume
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,RentALL,"Château Amiral is a strategically located residence near the Larvotto beachfront, with iconic curved balconies and partial sea views.",Château Amiral ist eine strategisch günstig gelegene Residenz in der Nähe des Strandes von Larvotto mit ikonischen geschwungenen Balkonen und teilweisem Meerblick.
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,RentALL,"With daytime concierge and a stylish lobby, it suits cosmopolitan residents seeking an accessible Monaco base close to the beach.","Mit Tages-Concierge und einer stilvollen Lobby eignet es sich für kosmopolitische Bewohner, die eine barrierefreie Basis in Monaco in der Nähe des Strandes suchen."
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,RentALL,Late-70s residence combining urban and coastal living,"Residenz aus den späten 70er-Jahren, die Stadt- und Küstenleben vereint"
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,RentALL,"Concierge, stylish lobby, garden landscaping","Concierge, stilvolle Lobby, Gartengestaltung"
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,RentALL,"Apartments range from compact pied-à-terres to larger family units, often featuring modern renovations and generous terraces.","Die Wohnungen reichen von kompakten Zweifamilienhäusern bis hin zu größeren Familieneinheiten, oft mit moderner Renovierung und großzügigen Terrassen."
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,RentALL,Château Amiral,Schloss Amiral
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,RentALL,55 m² to 150 m²,55 m² bis 150 m²
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""price21"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,RentALL,La Rousse / Saint Roman,La Rousse / Heiliger Römer
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,RentALL,Approx. 70 units in 2 wings,Ca. 70 Einheiten in 2 Flügeln
"{""contentId"":""87bd2b3a-a79a-49cb-9d7f-70b6fb8c66e2"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,RentALL,Discreet Living Between Marina and Mountain,Diskretes Wohnen zwischen Jachthafen und Berg
"{""contentId"":""95a87094-a596-4e4a-897f-8f11c10d2ab2"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_4""><span>Le Roccabella</span><br><br></p>","<p class=""font_4""><span>Le Roccabella</span><br><br></p>"
"{""contentId"":""a3456a99-81ef-4753-99f0-875ba0e63ff9"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,RentALL,,
